Title,Location,Price,Time
IPHONE 11 PRO 256GB FACTORY UNLOCKED EXCHANGE POSSIBLE,"Surjani Town, Karachi•","Rs 75,000",14 minutes ago
Iphone 12 pro max 128gb dual pta approved,"Gulberg 3, Lahore•","Rs 222,000",14 minutes ago
Redmi 12C 4_128,"Suparco Road, Karachi•","Rs 26,500",14 minutes ago
urgent,"Daultala, Rawalpindi•","Rs 31,000",15 minutes ago
I phone 11,"Nazimabad 3, Karachi•","Rs 69,000",15 minutes ago
vivo y 20,"Kot Lakhpat, Lahore•","Rs 26,000",15 minutes ago
exange possbile and sale onli whattsapp no call,"Batth Colony 62, Gujranwala•","Rs 22,500",15 minutes ago
iphone xr waterpack,"Wah Cantt, Wah•","Rs 48,000",15 minutes ago
samsung note 12gb ram 256gb rom,"Saddar, Karachi•","Rs 62,000",15 minutes ago
iPhone 12 Pro non pta 256gb sim working,"Saddar, Peshawar•","Rs 124,000",14 minutes ago
iphone 12 jv non pta,"G-11, Islamabad•","Rs 85,000",1 day ago
iphone 15 pro 256 gb,"Bahria Town Phase 8, Rawalpindi•","Rs 330,000",1 day ago
Iphone11promax 64gb waterpack non pta fimal price,"Saddar, Rawalpindi•","Rs 85,000",3 days ago
iPhone 13 Pro Max 256GB,"Bahria Town Phase 3, Rawalpindi•","Rs 207,000",2 days ago
IPHONE 13 PRO JV 128GB,"Azizabad, Karachi•","Rs 180,000",2 days ago
Samsung Fold 3 Approved Cellarena,"DHA Defence, Karachi•","Rs 155,000",4 days ago
Samsung Galaxy S8 (Non-PTA),"Gulshan-e-Rafi, Karachi•","Rs 11,000",15 minutes ago
techno spark 10 pro 8+8/256 exchange possible,"Mominpura Road, Lahore•","Rs 3,100",15 minutes ago
Infinix Hot 10 Play,"Gulshan-e-Maymar, Karachi•","Rs 20,000",15 minutes ago
"IPHONE 12, 12PRO, 12 PRO MAX , 13","Sanda, Lahore•","Rs 80,000",15 minutes ago
Tecno spark 8c,"Ghanta Ghar Chowk, Multan•","Rs 20,000",15 minutes ago
Samsung S20 FE 5G,"Lucknow Society, Karachi•","Rs 70,000",15 minutes ago
sony xperia 5 mark 2 official pta approved,"Model Town Link Road, Lahore•","Rs 52,500",16 minutes ago
Realme c2,"Zubair Colony, Multan•","Rs 14,000",16 minutes ago
samsung A20s,"North Gulgasht, Multan•","Rs 16,999",16 minutes ago
Oppo F1s Non PTA,"Latifabad Unit 2, Hyderabad•","Rs 6,000",16 minutes ago
Samsung s20,"Committee Chowk, Rawalpindi•","Rs 60,000",16 minutes ago
s20 5g,"Mustafa Town, Lahore•","Rs 40,000",16 minutes ago
iphone 12 pro 256Gb non pta,"Shadbagh, Lahore•","Rs 130,000",16 minutes ago
iPhone 11 64 Gb non PTA,"Saddar, Karachi•","Rs 65,000",2 days ago
